
flight_id	timestamp	flap_position	engine_thrust	yaw
1008	2024-01-01 00:00:00	57.601080308146900	29.09881492830100	54.71528484175240
1009	2024-01-01 00:01:00	47.00294406472150	43.45450460163620	47.45100384511160
1002	2024-01-01 00:02:00	55.253074625021500	51.31592960561870	43.51539989057580
1002	2024-01-01 00:03:00	32.536275203763200	55.717058930363200	52.313623243412900
1003	2024-01-01 00:04:00	46.156747731412300	35.37116062260570	63.76885886175850
1006	2024-01-01 00:05:00	44.981484105337	54.314599577272200	57.62808689573300
1002	2024-01-01 00:06:00	65.31326802314230	44.282230913906100	43.67531583689870
1009	2024-01-01 00:07:00	53.37087292733680	31.449213365132600	40.082273539206600
1007	2024-01-01 00:08:00	36.655459188470800	42.493190129483400	43.07211012290040
1007	2024-01-01 00:09:00	55.94583804775560	55.143771366138600	37.26257114634180
1005	2024-01-01 00:10:00	59.097833451011600	31.867019276337000	51.474094823272400
1003	2024-01-01 00:11:00	49.10336078460370	56.37051839608760	58.137861787342800
1004	2024-01-01 00:12:00	56.90255929122800	52.83378002401760	49.28660001499600
1001	2024-01-01 00:13:00	25.042926162175400	47.461409228549300	67.19766792929520
1005	2024-01-01 00:14:00	23.006776505677000	33.64802490015750	67.7541457515469
1002	2024-01-01 00:15:00	38.21330763702480	34.450511765658500	53.077352688284200
1005	2024-01-01 00:16:00	51.49039700625000	46.015183548676500	57.019377404766800
1004	2024-01-01 00:17:00	65.32163769608550	38.75059978115020	40.99542022030550
1001	2024-01-01 00:18:00	38.73572311117240	46.66241394509360	46.39193506160820
1004	2024-01-01 00:19:00	41.46322591712060	59.061821573483000	62.722703777665500
1004	2024-01-01 00:20:00	50.88606390724750	47.26978782584070	44.207273827115600
1008	2024-01-01 00:21:00	45.07681205020970	46.995550622688400	64.87379807016450
1007	2024-01-01 00:22:00	44.50809230703180	47.00347224335190	61.125641020748300
1006	2024-01-01 00:23:00	45.785251625687100	60.134019309650400	57.51623961046360
1002	2024-01-01 00:24:00	63.147884915190200	62.93369887485670	38.2730511034036
1009	2024-01-01 00:25:00	61.16134288738120	54.2193371217351	46.880135159296800
1003	2024-01-01 00:26:00	50.23469322292620	51.36591517398390	56.44208838844130
1005	2024-01-01 00:27:00	66.54480273919640	52.29562614855960	40.142519254979700
1002	2024-01-01 00:28:00	55.09028354067980	64.27951902253090	48.09922752783400
